code,name,unit,price,quantity,category
"FF-1761","CABLE ROYAL COOL",m,"650",150,"FERRETERIA",
"FF-1762","TERMO RETRACTIL (CAJA 160 PIEZAS)",UNO,"2500",1,"FERRETERIA",
"FF-1763","TERMO RETRACTIL (CAJA 180 PIEZAS)",UNO,"3500",0,"FERRETERIA",
"FF-1780","BROCHAS 3''",UNO,"500",0,"FERRETERIA",
"FF-1785","CABLE DE COBRE No12",m,"650",172.5,"FERRETERIA",
"FF-1788","BROCHAS 4''",UNO,"900",1,"FERRETERIA",
"FF-1789","BROCHAS 2''",UNO,"500",0,"FERRETERIA",
"FF-1790","EXTENSION 6M",UNO,"3500",0,"FERRETERIA",
"FF-1791","EXTENSION FINA",UNO,"2500",0,"FERRETERIA",
"FF-1792","CINTA REFLECTORA DOS COLORES",UNO,"250",8944,"FERRETERIA",
"FF-1793","DESTORNILLADOR PUNTA CHICA",UNO,"600",3,"FERRETERIA",
"JJ-1593","RELOJ ORIEN HOMBRE",UNO,"8000",2,"JOYERIA",
"NA-1478","GOMA AUTO 15/185/65",UNO,"32000",0,"NEUMATICOS AUTO",
"NA-1637","GOMA 15 AUTO",UNO,"30000",15,"NEUMATICOS AUTO",
"NA-1638","GOMA 14 AUTO",UNO,"30000",11,"NEUMATICOS AUTO",
"NA-1639","GOMA 13 AUTO",UNO,"24000",2,"NEUMATICOS AUTO",
"NM-1231","GOMA DE TACOS18X350",UNO,"22000",0,"NEUMATICOS MOTO",
"NM-1232","GOMA 14/90/90 UNISUKI",UNO,"15000",2,"NEUMATICOS MOTO",
"NM-1233","GOMA 12",UNO,"15000",1,"NEUMATICOS MOTO",
"NM-1234","CAMARA 16 X 250",UNO,"3500",15,"NEUMATICOS MOTO",
"NM-1236","CAMARA 16/300/250",UNO,"3500",2,"NEUMATICOS MOTO",
"NM-1237","CAMARA 26 MONTAÑESA",UNO,"2200",0,"NEUMATICOS MOTO",
"NM-1239","VALVULA CRIOLLA",UNO,"300",0,"NEUMATICOS MOTO",
"NM-1240","VALVULA MOTORINA",UNO,"500",1,"NEUMATICOS MOTO",
"NM-1241","CAMARA 300 X 18",UNO,"3500",0,"NEUMATICOS MOTO",
"NM-1242","GOMA M 18X275",UNO,"15000",2,"NEUMATICOS MOTO",
"NM-1480","GOMA DE TACOS 18 MOTO",UNO,"22000",1,"NEUMATICOS MOTO",
"NM-1481","GOMA MOTORINA 13",UNO,"17000",0,"NEUMATICOS MOTO",
"NM-1483","GOMA MOTO JAWA PISTA",UNO,"22000",5,"NEUMATICOS MOTO",
"NM-1484","GOMA 14 MOTORINA",UNO,"22000",1,"NEUMATICOS MOTO",
"NM-1656","CAMARA 16/300",UNO,"3500",13,"NEUMATICOS MOTO",
"NM-1657","CAMARA 16/350",UNO,"3500",12,"NEUMATICOS MOTO",
"PA-1000","AMORTIGUADOR  AUTO AMERICANO",PAR,"35000",3,"PIEZAS DE AUTO",
"PA-1003","CABLE CULEBRILLA AX-100",UNO,"1800",1,"PIEZAS DE AUTO",
"PA-1004","CDI",UNO,"3800",19,"PIEZAS DE AUTO",
"PA-1005","ESPANCIONADORES GRANDE (8 mm)",UNO,"350",23,"PIEZAS DE AUTO",
"PA-1007","CALSO GOMA DE V8",UNO,"10000",11,"PIEZAS DE AUTO",
"PA-1010","MANGUERA  FRENO MOTO",UNO,"1800",42,"PIEZAS DE AUTO",
"PA-1011","ENCENDEDOR CIGARRO",UNO,"3000",0,"PIEZAS DE AUTO",
"PA-1012","FILTRO YUNDAY DIESEL",UNO,"5000",3,"PIEZAS DE AUTO",
"PA-1013","FILTRO GASOLINA LADA",UNO,"2500",2,"PIEZAS DE AUTO",
"PA-1014","FILTRO AIRE LADA",UNO,"4000",0,"PIEZAS DE AUTO",
"PA-1016","CHAPALETA CUADRADA",UNO,"1200",0,"PIEZAS DE AUTO",
"PA-1017","CHAPALETA REDONDA",PAR,"2000",0,"PIEZAS DE AUTO",
"PA-1020","TUBERIA FRENO",PAR,"15000",4,"PIEZAS DE AUTO",
"PA-1021","ALFOMBRA DE AUTO SILICONA",UNO,"9000",1,"PIEZAS DE AUTO",
"PA-1022","PRESILLA CARBURADOR",UNO,"400",0,"PIEZAS DE AUTO",
"PA-1023","REPRODUCTORA AUTO",UNO,"25000",2,"PIEZAS DE AUTO",
"PA-1024","RELAY 100AP 12V",UNO,"1300",0,"PIEZAS DE AUTO",
"PA-1025","RESPUESTO FOCO DELANTERO MOSK",PAR,"7000",7,"PIEZAS DE AUTO",
"PA-1026","REPUESTO TRASERO FOCO AUTO LADA",PAR,"7000",1,"PIEZAS DE AUTO",
"PA-1027","BOMBA ELEC LADA",UNO,"10000",0,"PIEZAS DE AUTO",
"PA-1028","PIÑON GN",UNO,"1500",3,"PIEZAS DE AUTO",
"PA-1029","BORNE DE BATERIA",UNO,"2500",17,"PIEZAS DE AUTO",
"PA-1030","ALTERNADOR YUNDAY",UNO,"45000",0,"PIEZAS DE AUTO",
"PA-1031","CORREA LADA",UNO,"2800",0,"PIEZAS DE AUTO",
"PA-1034","FOCO LATERAL AUTO LADA",PAR,"3500",7,"PIEZAS DE AUTO",
"PA-1054","BOMBA DE FRENO YUNDAY",UNO,"49000",3,"PIEZAS DE AUTO",
"PA-1079","NEBLINERO CUADRADO",UNO,"3500",0,"PIEZAS DE AUTO",
"PA-1099","TAPA RADIADOR AUTOS MODERNOS",UNO,"3000",20,"PIEZAS DE AUTO",
"PA-1235","CAMARA 16 X 325",UNO,"3500",0,"PIEZAS DE AUTO",
"PA-1286","AMPERIMETRO",UNO,"7500",1,"PIEZAS DE AUTO",
"PA-1288","JUEGO CARBON YUNDAY",UNO,"3500",0,"PIEZAS DE AUTO",
"PA-1289","JUEGO INTERMITENTE V8",UNO,"7500",2,"PIEZAS DE AUTO",
"PA-1293","JUNKILLO LADA",m,"3500",0,"PIEZAS DE AUTO",
"PA-1294","KIT MANGUERA LADA Y MOSK (AGUA)",PAR,"15000",2,"PIEZAS DE AUTO",
"PA-1295","KOMANDO KAMA",UNO,"18000",1,"PIEZAS DE AUTO",
"PA-1297","MOTOR LIMPIA PARABRISA LADA",UNO,"14000",1,"PIEZAS DE AUTO",
"PA-1299","MANGUERA DE PRESION YUNDAY",UNO,"6000",0,"PIEZAS DE AUTO",
"PA-1300","MACHETE ELECTRICO",UNO,"7500",0,"PIEZAS DE AUTO",
"PA-1301","MANGUERA IDROWAA",UNO,"3500",0,"PIEZAS DE AUTO",
"PA-1302","MESULA DE LADA",UNO,"6500",1,"PIEZAS DE AUTO",
"PA-1303","MANGUERA AGUA RAYADOR LADA",UNO,"5500",3,"PIEZAS DE AUTO",
"PA-1304","MANGUERA RADIADOR DE AGUA CRIOLLA",UNO,"6000",9,"PIEZAS DE AUTO",
"PA-1306","MANGUERA DE FRENO WUA",UNO,"3000",8,"PIEZAS DE AUTO",
"PA-1307","MANGUERA DE FRENO LADA",UNO,"3000",0,"PIEZAS DE AUTO",
"PA-1308","MANILLA PUERTA LADA JGO 4 UNIDADES",UNO,"8000",2,"PIEZAS DE AUTO",
"PA-1311","MANILLA PUERTA DE MOSK",PAR,"35000",0,"PIEZAS DE AUTO",
"PA-1312","MOTOR ARRANQUE MOSK",UNO,"65000",0,"PIEZAS DE AUTO",
"PA-1313","MANGUERA GANDA RADIADOR",UNO,"6000",1,"PIEZAS DE AUTO",
